name,filename,N,size,periodic,symmetry,heuristic,attempts,contradictions,successes,contradiction_rate,avg_ms,avg_ms_success,avg_ms_contradiction
Chess,Chess_N2_size48.png,2,48,True,8,Entropy,1000,0,1000,0,0,0,-1
Chess,Chess_N2_size47.png,2,47,True,8,Entropy,1000,1000,0,100,0,-1,0
Skyline,Skyline_N3_size48.png,3,48,True,2,Entropy,1000,0,1000,0,48.21,48.21,-1
Flowers,Flowers_N3_size48.png,3,48,True,2,Entropy,1000,239,761,23.9,32.83,32.66,33.39
Hogs,Hogs_N3_size48.png,3,48,True,8,Entropy,1000,0,1000,0,14.88,14.88,-1
Hogs,Hogs_N2_size48.png,2,48,True,8,Entropy,1000,501,499,50.1,8.24,8.64,7.85
Knot,Knot_N3_size48.png,3,48,True,8,Entropy,1000,74,926,7.4,23.18,23.18,23.12
LessRooms,LessRooms_N3_size48.png,3,48,True,8,Entropy,1000,5,995,0.5,39.52,39.53,37.8
Mountains,Mountains_N3_size48.png,3,48,True,2,Entropy,1000,216,784,21.6,8.97,9.33,7.65
Office,Office_N3_size48.png,3,48,True,8,Entropy,1000,15,985,1.5,25.99,25.99,26
Paths,Paths_N3_size48.png,3,48,True,8,Entropy,1000,1,999,0.1,27.25,27.26,18
Platformer,Platformer_N2_size48.png,2,48,True,2,Entropy,1000,0,1000,0,9.24,9.24,-1
Platformer,Platformer_N3_size48.png,3,48,True,2,Entropy,1000,1,999,0.1,33.18,33.18,39
RedMaze,RedMaze_N2_size48.png,2,48,False,8,Entropy,1000,3,997,0.3,10.51,10.52,4.67
Rooms,Rooms_N3_size48.png,3,48,True,8,Entropy,1000,17,983,1.7,29.1,29.1,29.24
Rule126,Rule126_N3_size48.png,3,48,False,2,Entropy,1000,19,981,1.9,10.03,10.01,11.21
SimpleKnot,SimpleKnot_N3_size48.png,3,48,True,8,Entropy,1000,143,857,14.3,20.84,20.75,21.4
SimpleMaze,SimpleMaze_N2_size48.png,2,48,False,8,Entropy,1000,0,1000,0,19.54,19.54,-1
SimpleWall,SimpleWall_N3_size48.png,3,48,True,2,Entropy,1000,79,921,7.9,5.03,5.01,5.29
SimpleWall,SimpleWall_N3_size48.png,3,48,True,8,Entropy,1000,88,912,8.8,7.82,7.79,8.1
SimpleWall,SimpleWall_N2_size48.png,2,48,True,2,Entropy,1000,7,993,0.7,5.35,5.36,4
SimpleWall,SimpleWall_N2_size48.png,2,48,True,8,Entropy,1000,103,897,10.3,4.51,4.51,4.5
TrickKnot,TrickKnot_N3_size48.png,3,48,True,8,Entropy,1000,35,965,3.5,30.59,30.58,31.06
Village,Village_N3_size48.png,3,48,True,2,Entropy,1000,1,999,0.1,15.21,15.21,16
Water,Water_N3_size48.png,3,48,True,1,Entropy,1000,23,977,2.3,2.29,2.29,2.13
Cat,Cat_N3_size80.png,3,80,True,2,Entropy,1000,601,399,60.1,214.55,218.95,211.63
Cats,Cats_N3_size48.png,3,48,True,2,Entropy,1000,615,385,61.5,18.08,18.76,17.66
Skyline2,Skyline2_N3_size48.png,3,48,True,2,Entropy,1000,10,990,1,81.18,81.17,81.7
Angular,Angular_N3_size48.png,3,48,True,8,Entropy,1000,0,1000,0,22.33,22.33,-1
City,City_N3_size80.png,3,80,True,8,Entropy,1000,42,958,4.2,40.02,39.97,41.12
ColoredCity,ColoredCity_N3_size48.png,3,48,True,8,Entropy,1000,46,954,4.6,34.01,33.89,36.54
Dungeon,Dungeon_N3_size48.png,3,48,True,8,Entropy,1000,8,992,0.8,31.5,31.51,30.25
Lake,Lake_N3_size60.png,3,60,True,8,Entropy,1000,67,933,6.7,360.82,361.16,356.04
Link,Link_N3_size48.png,3,48,True,8,Entropy,1000,639,361,63.9,37.8,37.89,37.75
Link2,Link2_N3_size48.png,3,48,True,8,Entropy,1000,669,331,66.9,62.02,61.87,62.1
Mazelike,Mazelike_N3_size48.png,3,48,True,8,Entropy,1000,131,869,13.1,36.59,36.44,37.55
Nested,Nested_N3_size48.png,3,48,True,8,Entropy,1000,361,639,36.1,10.31,10.17,10.55
MagicOffice,MagicOffice_N3_size48.png,3,48,True,8,Entropy,1000,69,931,6.9,45.47,45.5,45.07
Office2,Office2_N3_size48.png,3,48,True,8,Entropy,1000,136,864,13.6,104.5,104.39,105.15
Qud,Qud_N3_size80.png,3,80,True,8,Entropy,1000,1,999,0.1,91.23,91.23,90
RedDot,RedDot_N3_size48.png,3,48,True,8,Entropy,1000,695,305,69.5,6.73,6.92,6.65
ScaledMaze,ScaledMaze_N2_size48.png,2,48,True,8,Entropy,1000,0,1000,0,15.57,15.57,-1
Sewers,Sewers_N3_size48.png,3,48,True,8,Entropy,1000,16,984,1.6,48.79,48.77,50.19
Skew1,Skew1_N3_size48.png,3,48,True,8,Entropy,1000,448,552,44.8,19.01,18.96,19.08
