strategy,parameter,name,filename,N,size,periodic,symmetry,heuristic,attempts,contradictions,successes,contradiction_rate,avg_observations
Baseline,0,Chess,Chess_N2_size48.png,2,48,True,8,Entropy,100,0,100,0,1
Baseline,0,Skyline,Skyline_N3_size48.png,3,48,True,2,Entropy,100,0,100,0,636.7
Baseline,0,Flowers,Flowers_N3_size48.png,3,48,True,2,Entropy,100,0,100,0,705.9
Baseline,0,Hogs,Hogs_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,699.2
Baseline,0,Hogs,Hogs_N2_size48.png,2,48,True,8,Entropy,100,0,100,0,2196.3
Baseline,0,Knot,Knot_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,892
Baseline,0,LessRooms,LessRooms_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,846.6
Baseline,0,Mountains,Mountains_N3_size48.png,3,48,True,2,Entropy,100,0,100,0,455
Baseline,0,Office,Office_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,703.8
Baseline,0,Paths,Paths_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,1116.8
Baseline,0,Platformer,Platformer_N2_size48.png,2,48,True,2,Entropy,100,0,100,0,567.2
Baseline,0,Platformer,Platformer_N3_size48.png,3,48,True,2,Entropy,100,0,100,0,476.6
Baseline,0,RedMaze,RedMaze_N2_size48.png,2,48,False,8,Entropy,100,0,100,0,634.4
Baseline,0,Rooms,Rooms_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,588.7
Baseline,0,Rule126,Rule126_N3_size48.png,3,48,False,2,Entropy,100,0,100,0,118
Baseline,0,SimpleKnot,SimpleKnot_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,801.6
Baseline,0,SimpleMaze,SimpleMaze_N2_size48.png,2,48,False,8,Entropy,100,0,100,0,1238
Baseline,0,SimpleWall,SimpleWall_N3_size48.png,3,48,True,2,Entropy,100,0,100,0,315.6
Baseline,0,SimpleWall,SimpleWall_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,362.1
Baseline,0,SimpleWall,SimpleWall_N2_size48.png,2,48,True,2,Entropy,100,0,100,0,611.1
Baseline,0,SimpleWall,SimpleWall_N2_size48.png,2,48,True,8,Entropy,100,0,100,0,633
Baseline,0,TrickKnot,TrickKnot_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,639.7
Baseline,0,Village,Village_N3_size48.png,3,48,True,2,Entropy,100,0,100,0,542
Baseline,0,Water,Water_N3_size48.png,3,48,True,1,Entropy,100,0,100,0,268.1
Baseline,0,Cat,Cat_N3_size80.png,3,80,True,2,Entropy,100,0,100,0,2242.8
Baseline,0,Cats,Cats_N3_size48.png,3,48,True,2,Entropy,100,0,100,0,488.2
Baseline,0,Skyline2,Skyline2_N3_size48.png,3,48,True,2,Entropy,100,0,100,0,848
Baseline,0,Angular,Angular_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,700.3
Baseline,0,City,City_N3_size80.png,3,80,True,8,Entropy,100,0,100,0,426.4
Baseline,0,ColoredCity,ColoredCity_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,212.6
Baseline,0,Dungeon,Dungeon_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,1269.3
Baseline,0,Lake,Lake_N3_size60.png,3,60,True,8,Entropy,100,0,100,0,1601
Baseline,0,Link,Link_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,1082.5
Baseline,0,Link2,Link2_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,2160.6
Baseline,0,Mazelike,Mazelike_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,700.5
Baseline,0,Nested,Nested_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,104.2
Baseline,0,MagicOffice,MagicOffice_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,916.2
Baseline,0,Office2,Office2_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,1285.8
Baseline,0,Qud,Qud_N3_size80.png,3,80,True,8,Entropy,100,0,100,0,1987.3
Baseline,0,RedDot,RedDot_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,837.9
Baseline,0,ScaledMaze,ScaledMaze_N2_size48.png,2,48,True,8,Entropy,100,0,100,0,2134.6
Baseline,0,Sewers,Sewers_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,834.5
Baseline,0,Skew1,Skew1_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,1099.7
Baseline,0,Skew2,Skew2_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,817.6
Baseline,0,SmileCity,SmileCity_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,255.1
Baseline,0,Spirals,Spirals_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,690.9
Baseline,0,Town,Town_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,522.8
Baseline,0,Wall,Wall_N2_size48.png,2,48,False,1,Entropy,100,0,100,0,391.7
Baseline,0,Wall,Wall_N3_size48.png,3,48,False,2,Entropy,100,0,100,0,343.5
Baseline,0,Wall,Wall_N3_size48.png,3,48,False,8,Entropy,100,0,100,0,309.7
Baseline,0,Lines,Lines_N3_size48.png,3,48,False,8,Entropy,100,0,100,0,764.1
Baseline,0,WalledDot,WalledDot_N3_size48.png,3,48,False,8,Entropy,100,0,100,0,425.8
Baseline,0,NotKnot,NotKnot_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,498
Baseline,0,Sand,Sand_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,1353.4
Baseline,0,Wrinkles,Wrinkles_N3_size120.png,3,120,True,8,MRV,100,0,100,0,4358
Baseline,0,3Bricks,3Bricks_N3_size48.png,3,48,True,1,Entropy,100,0,100,0,925
Baseline,0,Circle,Circle_N3_size90.png,3,90,True,1,MRV,100,0,100,0,7225.7
Baseline,0,Circle,Circle_N4_size90.png,4,90,True,1,MRV,100,0,100,0,2364.3
Baseline,0,Disk,Disk_N3_size90.png,3,90,True,1,MRV,100,0,100,0,9919.8
Baseline,0,Disk,Disk_N3_size90.png,3,90,True,8,MRV,100,0,100,0,4807.6
Baseline,0,Disk,Disk_N4_size90.png,4,90,True,8,MRV,100,0,100,0,1990.7
Baseline,0,BrownFox,BrownFox_N4_size90.png,4,90,False,1,MRV,100,0,100,0,1147.4
Fixed,100,Chess,Chess_N2_size48.png,2,48,True,8,Entropy,100,0,100,0,1
Fixed,100,Skyline,Skyline_N3_size48.png,3,48,True,2,Entropy,100,0,100,0,636.7
Fixed,100,Flowers,Flowers_N3_size48.png,3,48,True,2,Entropy,100,0,100,0,569.4
Fixed,100,Hogs,Hogs_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,699.2
Fixed,100,Hogs,Hogs_N2_size48.png,2,48,True,8,Entropy,100,3,97,3,4294.9
Fixed,100,Knot,Knot_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,824.8
Fixed,100,LessRooms,LessRooms_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,839
Fixed,100,Mountains,Mountains_N3_size48.png,3,48,True,2,Entropy,100,0,100,0,449.8
Fixed,100,Office,Office_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,692.8
Fixed,100,Paths,Paths_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,1116.8
Fixed,100,Platformer,Platformer_N2_size48.png,2,48,True,2,Entropy,100,0,100,0,567.2
Fixed,100,Platformer,Platformer_N3_size48.png,3,48,True,2,Entropy,100,0,100,0,476.6
Fixed,100,RedMaze,RedMaze_N2_size48.png,2,48,False,8,Entropy,100,0,100,0,634.4
Fixed,100,Rooms,Rooms_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,588.7
Fixed,100,Rule126,Rule126_N3_size48.png,3,48,False,2,Entropy,100,0,100,0,118
Fixed,100,SimpleKnot,SimpleKnot_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,730.7
Fixed,100,SimpleMaze,SimpleMaze_N2_size48.png,2,48,False,8,Entropy,100,0,100,0,1238
Fixed,100,SimpleWall,SimpleWall_N3_size48.png,3,48,True,2,Entropy,100,0,100,0,294.8
Fixed,100,SimpleWall,SimpleWall_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,343
Fixed,100,SimpleWall,SimpleWall_N2_size48.png,2,48,True,2,Entropy,100,0,100,0,600.9
Fixed,100,SimpleWall,SimpleWall_N2_size48.png,2,48,True,8,Entropy,100,0,100,0,605.3
Fixed,100,TrickKnot,TrickKnot_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,619.6
Fixed,100,Village,Village_N3_size48.png,3,48,True,2,Entropy,100,0,100,0,542
Fixed,100,Water,Water_N3_size48.png,3,48,True,1,Entropy,100,0,100,0,267.7
Fixed,100,Cat,Cat_N3_size80.png,3,80,True,2,Entropy,100,0,100,0,1315.1
Fixed,100,Cats,Cats_N3_size48.png,3,48,True,2,Entropy,100,0,100,0,377.6
Fixed,100,Skyline2,Skyline2_N3_size48.png,3,48,True,2,Entropy,100,0,100,0,845.5
Fixed,100,Angular,Angular_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,700.3
Fixed,100,City,City_N3_size80.png,3,80,True,8,Entropy,100,0,100,0,423.3
Fixed,100,ColoredCity,ColoredCity_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,208.7
Fixed,100,Dungeon,Dungeon_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,1269.3
Fixed,100,Lake,Lake_N3_size60.png,3,60,True,8,Entropy,100,0,100,0,1580.6
Fixed,100,Link,Link_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,579.4
Fixed,100,Link2,Link2_N3_size48.png,3,48,True,8,Entropy,100,2,98,2,2893.6
Fixed,100,Mazelike,Mazelike_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,644.3
Fixed,100,Nested,Nested_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,110.3
Fixed,100,MagicOffice,MagicOffice_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,902.8
Fixed,100,Office2,Office2_N3_size48.png,3,48,True,8,Entropy,100,0,100,0,1146.9
